,temperature,humidity,dew_point,precipitation,pressure,evapotranspiration,wind_speed,soil_temperature,median_CO2,median_N2O,median_CH4,median_SF6
1998-11-29,27.191666666666666,81.91666666666667,23.849999999999998,0.008333333333333333,1011.2916666666666,0.15291666666666667,20.954166666666666,28.2,366.74,315.59,1803.06,4.351
1998-12-12,26.566666666666666,81.70833333333333,23.145833333333332,0.075,1014.4083333333333,0.15583333333333335,31.520833333333332,28.03333333333333,367.2,315.59,1799.96,4.351
1998-12-13,26.458333333333332,86.91666666666667,24.075,0.09166666666666667,1014.1333333333333,0.12416666666666666,28.295833333333334,28.0,367.32,315.59,1800.91,4.351
1998-12-19,25.895833333333332,73.0,20.6625,0.0,1011.3874999999999,0.17,12.370833333333332,27.8,367.48,315.59,1799.07,4.351
1998-12-20,26.479166666666668,73.0,21.233333333333334,0.0,1011.1291666666666,0.15,9.916666666666666,27.8,367.44,315.59,1807.5,4.351
1998-12-26,26.433333333333334,73.70833333333333,21.333333333333332,0.008333333333333333,1012.8041666666667,0.16208333333333333,11.4625,27.8,367.71,315.59,1799.55,4.351
1998-12-27,26.65833333333333,79.04166666666667,22.695833333333336,0.03333333333333333,1015.0666666666666,0.13625,13.424999999999999,27.8,367.79,315.59,1810.53,4.351
1999-01-03,24.933333333333334,85.66666666666667,22.316666666666666,0.5083333333333333,1011.2875,0.11458333333333333,10.695833333333333,27.833333333333332,367.97,315.59,1801.17,4.351
1999-01-09,26.733333333333334,79.08333333333333,22.795833333333334,0.0,1010.5166666666668,0.16833333333333333,25.8,27.433333333333334,368.23,315.59,1784.31,4.351
1999-01-10,26.891666666666666,80.08333333333333,23.183333333333334,0.016666666666666666,1010.8791666666666,0.16041666666666668,19.358333333333334,27.333333333333332,368.27,315.59,1816.03,4.351
1999-01-16,26.42916666666667,77.08333333333333,22.09166666666667,0.0,1017.3041666666667,0.17500000000000002,26.741666666666664,27.266666666666666,367.97,315.59,1793.74,4.351
1999-01-17,26.0125,82.83333333333333,22.891666666666666,0.05833333333333334,1016.6333333333333,0.15208333333333332,27.337500000000002,27.3,367.97,315.59,1789.76,4.351
1999-01-23,25.704166666666666,82.20833333333333,22.429166666666664,0.016666666666666666,1014.6083333333332,0.165,38.208333333333336,27.100000000000005,369.1,315.59,1787.56,4.351
1999-01-24,25.295833333333334,85.375,22.645833333333332,0.10416666666666667,1014.1916666666666,0.13708333333333333,34.87083333333333,27.166666666666668,369.26,315.59,1793.72,4.351
1999-01-30,25.599999999999998,83.125,22.483333333333334,0.016666666666666666,1011.125,0.14708333333333332,11.299999999999999,27.600000000000005,369.55,315.59,1814.61,4.351
1999-01-31,24.979166666666668,83.16666666666667,21.920833333333334,0.05416666666666667,1012.275,0.14375000000000002,10.170833333333333,27.600000000000005,369.43,315.59,1809.91,4.351
1999-02-06,26.65416666666667,79.79166666666667,22.858333333333334,0.0375,1014.3458333333333,0.17041666666666666,20.741666666666667,27.80416666666667,369.19,315.59,1802.15,4.351
1999-02-07,26.53333333333333,75.54166666666667,21.804166666666664,0.012500000000000002,1012.7416666666667,0.1991666666666667,24.46666666666667,27.875,369.27,315.59,1800.69,4.351
1999-02-13,26.858333333333334,80.625,23.21666666666667,0.0625,1012.9499999999999,0.16833333333333333,14.916666666666666,27.899999999999995,369.03,315.59,1803.53,4.351
1999-02-14,26.65416666666667,81.20833333333333,23.170833333333334,0.0,1014.6958333333333,0.17500000000000002,15.704166666666666,27.833333333333332,368.79,315.59,1794.39,4.351
1999-02-20,26.3,85.25,23.59166666666667,0.05833333333333334,1012.1750000000001,0.15625,8.658333333333333,27.899999999999995,369.14,315.59,1778.73,4.351
1999-02-21,26.02916666666667,86.95833333333333,23.704166666666666,0.075,1013.1625,0.16166666666666665,6.325,27.899999999999995,369.24,315.59,1793.54,4.351
